,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0,-11.807,142.0583,313.0,1.0,1.0,1/8/2019,56.0,Terra,MODIS,48.0,6.3,297.3,6.6,D,0.0
1,-11.7924,142.085,319.3,1.0,1.0,1/8/2019,56.0,Terra,MODIS,71.0,6.3,297.3,11.3,D,0.0
2,-12.8398,132.8744,311.6,3.1,1.7,1/8/2019,57.0,Terra,MODIS,42.0,6.3,298.7,23.1,D,0.0
3,-14.4306,143.3035,310.1,1.1,1.1,1/8/2019,57.0,Terra,MODIS,33.0,6.3,296.1,6.5,D,0.0
4,-12.4953,131.4897,310.3,4.0,1.9,1/8/2019,57.0,Terra,MODIS,36.0,6.3,298.8,27.6,D,0.0
5,-12.6191,142.1998,314.8,1.0,1.0,1/8/2019,57.0,Terra,MODIS,68.0,6.3,297.6,9.3,D,0.0
6,-14.3655,143.5682,305.4,1.2,1.1,1/8/2019,57.0,Terra,MODIS,24.0,6.3,283.9,5.9,D,0.0
7,-14.3195,143.5198,322.9,1.2,1.1,1/8/2019,57.0,Terra,MODIS,79.0,6.3,290.9,20.4,D,0.0
8,-13.1654,141.9715,317.2,1.0,1.0,1/8/2019,57.0,Terra,MODIS,72.0,6.3,300.0,9.9,D,0.0
9,-11.5473,132.6796,311.5,3.4,1.7,1/8/2019,57.0,Terra,MODIS,40.0,6.3,298.7,27.3,D,0.0
10,-11.5417,132.649,312.2,3.4,1.7,1/8/2019,57.0,Terra,MODIS,42.0,6.3,298.0,31.4,D,0.0
11,-11.5471,132.6538,316.0,3.4,1.7,1/8/2019,57.0,Terra,MODIS,65.0,6.3,298.0,52.7,D,0.0
12,-12.7626,142.1759,335.2,1.0,1.0,1/8/2019,57.0,Terra,MODIS,88.0,6.3,301.7,30.1,D,0.0
13,-12.705,133.907,311.7,2.6,1.5,1/8/2019,57.0,Terra,MODIS,57.0,6.3,298.6,20.6,D,0.0
14,-13.1092,134.1848,315.9,2.4,1.5,1/8/2019,57.0,Terra,MODIS,67.0,6.3,298.4,29.5,D,0.0
15,-14.0539,142.3327,316.0,1.0,1.0,1/8/2019,57.0,Terra,MODIS,52.0,6.3,298.8,7.8,D,0.0
16,-12.6996,133.9138,310.9,2.6,1.5,1/8/2019,57.0,Terra,MODIS,55.0,6.3,298.7,17.6,D,0.0
17,-12.7499,134.5251,314.8,2.3,1.5,1/8/2019,57.0,Terra,MODIS,66.0,6.3,299.9,22.8,D,0.0
18,-12.7141,134.3991,313.9,2.4,1.5,1/8/2019,57.0,Terra,MODIS,64.0,6.3,299.2,23.0,D,0.0
19,-12.7061,134.4077,314.0,2.4,1.5,1/8/2019,57.0,Terra,MODIS,64.0,6.3,300.0,21.2,D,0.0
20,-13.8656,141.9771,315.7,1.0,1.0,1/8/2019,57.0,Terra,MODIS,69.0,6.3,300.8,6.7,D,0.0
21,-12.6491,134.3953,324.9,2.4,1.5,1/8/2019,57.0,Terra,MODIS,79.0,6.3,300.6,57.7,D,0.0
22,-13.1015,134.1926,311.3,2.4,1.5,1/8/2019,57.0,Terra,MODIS,55.0,6.3,298.1,17.2,D,0.0
23,-12.6703,142.1102,322.4,1.0,1.0,1/8/2019,57.0,Terra,MODIS,78.0,6.3,301.0,13.7,D,0.0
24,-13.3042,142.04,318.6,1.0,1.0,1/8/2019,57.0,Terra,MODIS,76.0,6.3,299.0,11.6,D,0.0
25,-13.2236,141.9914,325.3,1.0,1.0,1/8/2019,57.0,Terra,MODIS,69.0,6.3,300.4,16.2,D,0.0
26,-13.2821,142.4617,306.5,1.0,1.0,1/8/2019,57.0,Terra,MODIS,19.0,6.3,280.3,5.4,D,0.0
27,-13.2159,142.002,325.5,1.0,1.0,1/8/2019,57.0,Terra,MODIS,52.0,6.3,297.3,17.6,D,0.0
28,-13.2537,142.5242,310.0,1.0,1.0,1/8/2019,57.0,Terra,MODIS,37.0,6.3,291.3,4.3,D,0.0
29,-12.4513,141.8071,320.2,1.0,1.0,1/8/2019,57.0,Terra,MODIS,68.0,6.3,296.0,13.0,D,0.0
30,-12.4527,141.8162,328.6,1.0,1.0,1/8/2019,57.0,Terra,MODIS,83.0,6.3,298.2,21.8,D,0.0
31,-12.544,142.4455,317.6,1.0,1.0,1/8/2019,57.0,Terra,MODIS,57.0,6.3,301.1,8.8,D,0.0
32,-12.463,141.8241,317.0,1.0,1.0,1/8/2019,57.0,Terra,MODIS,51.0,6.3,298.3,8.2,D,0.0
33,-12.5567,141.8979,336.5,1.0,1.0,1/8/2019,57.0,Terra,MODIS,88.0,6.3,304.4,31.5,D,0.0
